customer_id,ontime_target%,infull_target%,otif_target%
789201,87,81,70
789202,85,81,69
789203,92,76,70
789301,89,78,69
789303,88,78,69
789101,86,80,69
789102,90,81,73
789103,92,67,62
789121,78,77,60
789122,76,65,49
789220,91,76,69
789221,85,80,68
789320,91,81,74
789321,87,81,70
789401,85,79,67
789402,89,80,71
789403,86,79,68
789420,75,79,59
789421,78,66,51
789422,79,81,64
789501,92,80,74
789503,86,82,71
789520,75,68,51
789521,78,79,62
789522,76,79,60
789601,92,67,62
789603,92,75,69
789702,89,66,59
789703,85,78,66
789621,92,81,75
789622,90,79,71
789720,86,77,66
789721,89,75,67
789902,90,81,73
789903,92,65,60
