plan,plan_description
p1,Smart Recharge Pack (2 GB / Day Combo For 3 months)
p2,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
p3,Elite saver Pack (1 GB/ Day) Valid: 28 Days
p4,Mini Data Saver Pack (500 MB/ Day) Valid: 20 Days
p5,Rs. 99 Full Talktime Combo Pack
p6,Xstream Mobile Data Pack: 15GB Data | 28 days
p7,25 GB Combo 3G / 4G Data Pack
p8,Daily Saviour (1 GB / Day) validity: 1 Day
p9,Combo TopUp: 14.95 Talktime and 300 MB data
p10,Big Combo Pack (6 GB / Day) validity: 3 Days
p11,Ultra Fast Mega Pack (3GB / Day Combo For 80 days)
p12,Ultra Duo Data Pack (1.8GB / Day Combo For 55 days )
p13,Mini Ultra Saver Pack (750 MB/Day for 28 Days)
